Model,Dataset,Emb_size,L2,HR@5,HR@10,HR@20,HR@50,NDCG@5,NDCG@10,NDCG@20,NDCG@50
BPRMF,Grocery_and_Gourmet_Food_1m,32,1e-2,0.0709,0.1451,0.2649,0.4992,0.0405,0.0642,0.0943,0.1406
BPRMF,Grocery_and_Gourmet_Food_1m,64,1e-6,0.4381,0.5516,0.6724,0.8468,0.3323,0.3690,0.3995,0.4341
BPRMF,Grocery_and_Gourmet_Food_1m,64,1e-5,0.2993,0.4066,0.5361,0.7348,0.2129,0.2474,0.2801,0.3195
BPRMF,Grocery_and_Gourmet_Food_1m,64,1e-4,0.1090,0.1832,0.3003,0.5225,0.0684,0.0922,0.1215,0.1654
BPRMF,Grocery_and_Gourmet_Food_1m,64,1e-3,0.0822,0.1558,0.2695,0.4994,0.0482,0.0717,0.1003,0.1457
BPRMF,Grocery_and_Gourmet_Food_1m,64,1e-2,0.0671,0.1385,0.2595,0.5015,0.0384,0.0612,0.0916,0.1394
BPRMF,Grocery_and_Gourmet_Food_1m,128,1e-6,0.4370,0.5512,0.6710,0.8456,0.3325,0.3694,0.3997,0.4343
BPRMF,Grocery_and_Gourmet_Food_1m,128,1e-5,0.2986,0.4062,0.5359,0.7363,0.2126,0.2473,0.2800,0.3197
BPRMF,Grocery_and_Gourmet_Food_1m,128,1e-4,0.1038,0.1822,0.3023,0.5251,0.0650,0.0901,0.1202,0.1643
BPRMF,Grocery_and_Gourmet_Food_1m,128,1e-3,0.0748,0.1358,0.2398,0.4987,0.0461,0.0657,0.0917,0.1425
BPRMF,Grocery_and_Gourmet_Food_1m,128,1e-2,0.0627,0.1315,0.2518,0.4998,0.0361,0.0580,0.0881,0.1371
BPRMF,Grocery_and_Gourmet_Food_1m,256,1e-6,0.4367,0.5492,0.6686,0.8437,0.3324,0.3687,0.3988,0.4336
BPRMF,Grocery_and_Gourmet_Food_1m,256,1e-5,0.2979,0.4053,0.5340,0.7343,0.2123,0.2469,0.2794,0.3190
BPRMF,Grocery_and_Gourmet_Food_1m,256,1e-4,0.1051,0.1807,0.2988,0.5236,0.0658,0.0900,0.1196,0.1639
BPRMF,Grocery_and_Gourmet_Food_1m,256,1e-3,0.0761,0.1329,0.2334,0.4976,0.0471,0.0652,0.0904,0.1421
BPRMF,Grocery_and_Gourmet_Food_1m,256,1e-2,0.0602,0.1231,0.2442,0.5025,0.0351,0.0552,0.0855,0.1365
